Gene,aboral1,aboral2,aboral3,aboral4,oral1,oral2,oral3,oral4
ML02113a,584,538,607,506,449,435,307,466
ML021140a,23,34,38,25,15,26,8,15
ML021141a,70,74,71,65,26,48,39,54
ML021142a,0,1,0,1,2,2,4,1
ML021143a,0,0,0,0,0,0,0,0
ML02114a,398,292,291,281,243,293,208,252
ML02115a,1171,1308,1499,943,2101,929,929,1041
ML02116a,0,0,0,0,0,0,1,0
ML02117a,213,234,264,197,329,243,155,182
ML02118a,3,1,1,1,1,2,1,5
ML02119a,476,466,456,409,463,392,316,326
ML02121a,6,2,5,3,3,0,8,4
ML02131a,0,5,5,3,3,6,1,4
ML02132a,1,3,13,2,2,1,1,3
ML02141a,398,376,311,363,239,345,309,281
ML02142a,3,1,3,8,1,1,3,5
ML02143a,183,196,251,157,321,162,130,149
ML02144a,182,153,167,148,135,170,107,151
ML02145a,25,37,101,48,148,29,25,23
ML02151a,80,108,101,111,57,50,74,103
ML02152a,749,934,883,947,729,550,734,725
ML02153a,815,999,900,1025,800,752,801,708
ML021610a,4,13,6,23,7,0,4,5
ML021611a,184,227,180,215,158,173,200,195
ML021612a,0,1,0,0,229,164,391,156
ML02161a,1000,691,837,682,924,847,572,775
ML02162a,2177,12,143,767,0,0,3,106
ML02163a,490,531,563,496,514,463,409,390
ML02164a,0,0,0,0,0,0,0,0
ML02165a,2495,2354,2663,2244,3511,2232,2063,2240
ML02166a,98,202,58,94,33,72,52,63
ML02167a,18,22,25,31,47,23,51,36
ML02168a,445,627,515,619,559,439,591,496
ML02169a,29,64,47,27,47,26,21,32
ML02171a,228,192,204,162,340,200,139,165
ML021910a,4,5,5,0,6,17,15,6
ML02191a,886,1098,1005,1013,945,806,690,770
ML02192a,18,27,17,27,123,34,122,162
ML02193a,215,235,207,186,182,223,163,181
ML02194a,0,0,0,0,0,0,0,0
ML02195a,161,259,235,189,169,118,166,114
ML02196a,84,112,94,86,92,85,57,67
ML02197a,417,413,543,462,464,401,398,389
ML02198a,3,5,2,13,9,2,3,4
ML02199a,451,548,517,578,655,425,437,427
ML022010a,0,0,0,0,0,0,0,0
ML022011a,6203,15845,12343,14924,6122,5333,9363,7201
ML022012a,6355,9159,7432,10166,2130,3254,3638,3681
ML022013a,929,961,818,513,764,687,565,656
ML022014a,194,214,235,195,235,173,207,210
ML022015a,0,0,0,0,0,0,0,0
ML02201a,133,111,128,133,83,123,145,120
ML02202a,2,0,0,0,1,1,0,2
ML02203a,372,374,464,419,224,335,432,388
ML02204a,7990,8831,8084,9586,6303,6742,7109,6323
ML02205a,235,251,287,293,381,305,245,214
ML02206a,678,141,225,312,18,64,52,172
ML02207a,1538,1455,1432,1353,1158,1226,1175,1084
ML02208a,0,0,0,0,0,0,1,0
ML02209a,460,276,321,237,530,526,399,408
ML02211a,373,518,387,457,435,295,434,350
ML02212a,3144,3810,4475,2152,3833,1574,1914,2871
ML02213a,0,0,0,0,0,0,0,0
ML02214a,491,468,499,391,370,442,292,387
ML02215a,271,346,397,396,367,301,353,346
ML02216a,23,3,12,2,9,4,10,22
ML02217a,513,468,579,550,445,562,428,439
ML022310a,13,38,43,51,44,33,76,53
ML022311a,0,0,0,0,0,0,0,0
ML022312a,1036,1127,1076,888,1046,786,855,976
ML022313a,1,0,0,0,0,2,0,0
ML022314a,32,29,8,23,27,19,25,31
ML022315a,2182,2663,2821,2443,3664,2354,2153,1970
ML02231a,681,1013,1710,906,1150,1122,1600,1304
ML02232a,240,314,267,274,325,288,317,309
ML02233a,883,957,1021,1066,479,470,524,444
ML02234a,3509,4328,4051,4538,3652,3081,2896,2995
ML02235a,183,181,203,163,195,182,125,137
ML02236a,167,91,133,121,32,106,51,73
ML02237a,101,51,92,64,81,58,45,50
ML02238a,2078,2500,2602,2734,769,819,846,791
ML02239a,0,2,5,6,3,5,3,3
ML022410a,59,57,48,61,64,46,42,46
ML022411a,1483,2204,2338,884,11397,5394,9933,8113
ML022412a,375,522,414,415,450,364,386,441
ML022413a,196,123,153,94,317,191,201,211
ML022414a,1133,898,1278,870,925,855,648,846
ML022415a,160,223,191,228,140,157,171,143
ML022416a,119,101,110,93,115,89,79,83
ML022417a,0,0,0,0,16,25,4,9
ML022418a,0,1,0,1,0,0,1,2
ML022419a,217,78,112,84,173,128,67,100
ML02241a,41,52,55,41,0,91,39,25
ML022420a,1981,3477,2619,2766,2837,2068,2412,2178
ML022421a,350,350,333,398,316,274,260,245
ML022422a,157,38,58,19,145,156,82,155
ML02242a,0,0,0,0,0,0,0,0
ML02243a,64,610,134,303,443,70,303,48
ML02244a,721,654,756,852,518,431,457,516
ML02245a,231,158,148,184,164,105,128,168
ML02246a,132,174,222,104,102,66,79,89
ML02247a,290,154,196,246,178,186,183,232
ML02248a,1020,1256,1287,1122,1578,1053,854,991
ML02249a,303,564,502,605,248,247,289,251
ML02251a,696,598,627,604,459,325,206,367
ML02252a,1128,1093,1300,993,1353,1001,752,936
ML02253a,271,270,304,280,480,235,266,237
ML02254a,386,349,383,293,637,331,323,370
ML02255a,0,0,0,0,0,0,0,0
ML02271a,235,276,277,300,287,294,223,212
ML02272a,226,338,260,315,306,267,231,222
ML02273a,162,255,221,237,331,198,198,177
ML02274a,762,1118,1105,1032,552,779,755,691
ML02275a,7765,10770,8403,10467,5248,5501,5645,5421
ML02281a,0,0,0,0,0,0,0,0
ML02282a,417,19,16,0,50,122,45,345
ML02283a,2,2,4,11,0,5,7,3
ML02291a,1,0,0,0,0,0,0,0
ML023010a,9,7,9,2,48,32,50,30
ML023011a,0,0,0,0,0,0,0,0
ML023012a,1,1,0,0,27,12,17,17
ML023013a,0,1,1,1,41,28,55,32
ML023014a,71,71,93,82,119,83,100,92
ML023015a,110,118,113,108,66,163,151,94
ML023016a,53,82,77,72,2,6,14,14
ML023017a,171,231,186,193,102,101,179,199
ML02301a,16,63,13,69,5,19,69,7
ML02302a,2,7,1,6,1,3,3,0
ML02303a,19950,22634,23236,20663,25733,14864,15779,17812
ML02304a,311,700,330,248,306,420,229,221
ML02305a,381,408,329,393,265,290,484,400
ML02306a,43,48,32,67,121,92,92,70
ML02307a,62,58,49,46,145,101,101,99
ML02308a,13,29,23,14,1,0,0,2
ML02309a,20,7,3,5,55,54,57,51
ML023110a,58,150,102,67,53,53,62,56
ML023111a,110,161,131,84,63,67,83,92
ML023112a,692,779,962,636,1000,685,686,738
ML023113a,433,382,466,419,305,279,212,249
ML02311a,454,405,440,395,307,463,385,404
ML02312a,157,187,223,154,263,161,124,132
ML02313a,454,476,494,560,604,418,305,403
ML02314a,345,337,394,353,305,377,281,288
ML02315a,631,555,653,546,646,523,405,485
ML02316a,474,475,397,379,133,370,283,329
ML02317a,62,52,57,56,90,37,33,45
ML02318a,236,222,292,239,245,161,168,152
ML02319a,10,8,6,0,9,16,32,39
ML02331a,568,910,751,639,773,604,587,585
ML02332a,2,1,2,0,2,2,0,0
ML02333a,580,780,600,551,455,516,451,561
ML02334a,117,152,146,113,111,128,91,117
ML02335a,82,98,93,57,155,98,143,137
ML02336a,677,955,732,572,675,564,492,492
ML02337a,303,498,372,303,288,172,196,204
ML02361a,2,7,9,6,164,67,134,23
ML02362a,3,16,0,4,0,5,4,1
ML02381a,958,1370,1131,1034,917,719,883,891
ML02382a,0,0,0,0,0,0,0,0
ML02383a,37,42,36,22,37,19,23,31
ML02384a,0,0,0,0,0,0,0,0
ML02391a,2,88,60,13,56,7,9,7
ML02392a,912,1710,1353,1892,393,631,831,775
ML02393a,0,0,0,0,0,0,0,0
ML02401a,152,179,83,57,21,24,28,107
ML02402a,15889,18715,18078,17475,30633,12592,12718,15387
ML02403a,0,0,0,0,0,0,0,0
ML02404a,0,0,0,0,0,0,0,0
ML02405a,191,203,206,149,236,158,137,162
ML024110a,0,6,0,3,10,86,235,345
ML024111a,62,53,52,65,100,51,47,51
ML024112a,4154,6987,6058,7817,4305,3165,3606,3717
ML02411a,93,171,131,155,69,59,62,72
ML02412a,184,158,223,131,208,183,144,170
ML02413a,167,164,221,171,259,124,122,118
ML02414a,11,2,2,7,4,4,3,7
ML02415a,3416,1725,2329,1466,3049,2726,1512,2179
ML02416a,0,0,0,0,0,0,0,0
ML02417a,1071,1389,1299,1254,1213,845,986,1042
ML02418a,5,5,10,5,2,0,4,3
ML02419a,75,65,69,51,83,110,43,48
ML02421a,666,681,700,585,637,356,289,380
ML02422a,263,222,266,217,220,151,120,134
ML02423a,2,6,6,7,31,20,30,13
ML02431a,4,1,2,2,1,5,1,2
ML02432a,35,21,28,33,18,28,35,48
ML024410a,88,92,141,119,61,80,58,55
ML024411a,248,229,355,277,288,222,211,165
ML02441a,21,16,11,11,5,13,18,16
ML02442a,557,719,607,783,412,530,515,486
ML02443a,176,216,290,254,45,54,80,74
ML02444a,130,124,154,154,121,158,126,122
ML02445a,109,93,103,99,76,77,102,104
ML02446a,527,734,733,627,335,484,436,487
ML02447a,7265,7761,9041,9721,5179,4125,1905,3978
ML02448a,1,7,4,0,12,11,5,4
ML02449a,525,715,771,734,494,445,608,572
ML024510a,37,65,61,41,101,89,94,68
ML024511a,1279,1286,1327,1327,1123,1008,881,971
ML024512a,746,815,681,696,470,590,726,746
ML024513a,0,0,0,0,0,0,0,0
ML024514a,0,0,0,0,0,0,0,0
ML024515a,0,0,0,0,0,0,0,0
ML024516a,175,128,137,134,103,115,117,126
ML02451a,0,0,0,0,0,0,0,0
ML02452a,3,2,1,0,0,2,0,1
ML02453a,173,137,121,111,130,108,69,99
ML02454a,209,199,136,141,228,128,100,173
ML02455a,316,327,276,251,391,247,162,259
ML02456a,176,168,214,182,125,80,85,165
ML02457a,49,113,83,91,132,81,105,116
ML02458a,161,254,180,172,214,135,127,118
ML02459a,135,247,139,163,133,77,129,84
ML02471a,33,65,92,119,46,24,71,36
ML02481a,417,679,448,707,285,389,394,433
ML02482a,775,1441,2374,1962,1136,522,1000,698
ML02483a,464,550,477,474,715,191,476,428
ML02484a,86,91,110,84,97,70,34,53
ML02485a,5,7,5,2,9,4,8,8
ML024910a,203,117,170,118,259,172,130,188
ML024911a,230,174,218,184,282,206,177,196
ML024912a,261,228,249,200,195,263,145,217
ML024913a,0,0,0,0,0,0,0,0
ML024914a,0,0,0,0,0,0,0,0
ML024915a,55,84,69,77,63,41,39,35
ML024916a,573,701,712,698,696,673,790,721
ML02491a,421,406,459,584,187,333,243,266
ML02492a,40,56,36,65,50,63,60,37
ML02493a,517,801,689,692,697,317,269,379
ML02494a,636,439,543,423,585,471,324,415
ML02495a,1108,1124,1087,1002,1241,859,776,792
ML02496a,0,0,0,0,0,0,0,0
ML02497a,454,352,314,294,382,312,278,264
ML02498a,216,194,211,158,186,187,124,146
ML02499a,156,45,100,40,72,118,47,110
ML025010a,2510,4697,5391,3790,2350,1764,2387,2295
ML025011a,443,565,661,659,662,588,674,678
ML025012a,9040,3009,7765,6923,4070,2575,2387,3875
ML025013a,704,1026,831,841,883,746,755,792
ML025014a,146,281,265,208,232,110,144,152
ML025015a,92,100,99,80,97,122,74,102
ML025016a,255,364,291,348,355,241,352,348
ML025017a,0,0,0,0,0,0,0,0
ML025018a,123,169,186,157,141,140,125,146
ML025019a,72,74,69,81,54,77,43,68
ML02501a,549,693,668,748,890,480,441,451
ML025020a,2,8,7,4,6,7,11,3
ML025021a,284,319,161,164,410,419,127,184
ML025022a,273,356,481,371,452,308,249,235
ML025023a,101,153,167,174,167,137,85,71
ML025024a,164,397,235,276,143,171,250,137
ML025025a,0,0,0,0,0,0,0,0
ML025026a,117,117,117,98,109,108,82,74
ML025027a,188,310,216,315,203,208,206,167
ML025028a,123,181,140,202,138,119,136,103
ML025029a,200,180,244,187,235,188,134,161
ML02502a,34,2,11,0,16,53,1,32
ML025030a,140,121,182,161,204,127,129,134
ML025031a,164,110,159,146,86,166,128,115
ML02503a,1138,1438,1201,1219,1199,1041,1107,1045
ML02504a,4,1,1,2,0,1,2,2
ML02505a,945,1041,1046,979,1302,745,708,890
ML02506a,21,25,33,27,64,22,34,59
ML02507a,0,0,0,0,0,0,1,0
ML02508a,8,4,0,1,2,0,1,3
ML02509a,0,0,0,0,0,0,0,0
ML02511a,2,0,0,0,0,0,0,0
ML02512a,3,2,0,1,0,0,1,1
ML025210a,32,48,42,35,38,37,35,32
ML025211a,4073,5870,7875,8393,12448,9164,15990,13079
ML02521a,90,78,101,87,43,92,97,104
ML02522a,1,4,7,6,10,45,202,204
ML02523a,986,1182,1064,1272,577,791,784,819
ML02524b,407,646,637,629,276,215,266,248
ML02525a,971,858,987,856,1005,1022,646,804
ML02526a,489,815,746,553,816,539,441,512
ML02527a,3,2,0,1,0,3,2,4
ML02528a,2363,1867,2165,1880,1737,1789,1437,1904
ML02529a,155,219,175,168,232,113,134,127
ML02541a,2787,3206,3261,3382,2472,1383,1387,1557
ML02542a,166,253,199,182,215,146,154,158
ML02543a,19,21,16,16,55,19,38,28
ML02544a,0,0,0,0,0,0,0,0
ML02545a,142,126,131,127,184,97,87,125
ML02546a,91,111,154,125,149,157,105,95
ML02547a,2993,3821,4472,3966,3152,2497,2589,2684
ML02548a,1066,1119,1277,1063,1629,853,729,915
ML02549a,574,683,591,667,234,604,712,593
ML02551a,217,248,238,248,148,193,173,185
ML02571a,28,58,26,76,10,20,24,16
ML02581a,10,25,4,96,13,9,79,16
ML025910a,0,0,0,0,0,0,0,0
ML025911a,0,1,2,1,1,1,0,0
ML025912a,360,523,536,403,281,245,299,284
ML02591a,261,233,242,178,105,241,124,140
ML02592a,1096,1184,1215,1258,1031,828,769,959
ML02593a,444,414,474,463,671,350,418,478
ML02594a,91,207,122,250,58,66,167,85
ML02595a,314,375,372,416,480,306,398,428
ML02596a,2661,2723,2647,2462,1656,1483,2139,2122
ML02597a,0,0,0,0,0,0,0,0
ML02598a,8,4,6,4,4,6,5,6
ML02599a,3,5,20,2,1,35,1,3
ML026010a,72,98,183,87,126,74,83,87
ML026011a,6,7,13,5,29,15,28,31
ML02601a,700,869,842,650,1026,1091,2418,1423
ML02602a,21,25,31,45,10,9,14,7
ML02603a,8,3,6,2,51,15,25,14
ML02604a,2619,130,783,23,2204,1480,212,1267
ML02605a,50,173,127,170,90,42,80,31
ML02606a,240,254,333,224,291,228,149,171
ML02607a,612,856,815,722,206,375,312,415
ML02608a,25,196,4,135,2,7,148,55
ML02609a,628,891,779,743,380,370,375,398
ML02611a,139,89,109,80,126,103,68,67
ML02612a,175,153,204,154,153,127,126,135
ML02613a,468,1919,1063,1212,533,272,506,705
ML02614a,249,183,214,169,178,158,111,145
ML02621a,1147,1402,1086,1000,1105,981,1078,897
ML02631a,426,742,360,586,171,425,400,379
ML02632a,0,2,4,0,4,4,2,4
ML02633a,42,43,38,52,13,38,26,32
ML02634a,416,324,374,330,298,368,322,314
ML02635a,496,446,499,511,583,487,455,461
ML02636a,948,1234,1144,1031,1180,897,845,880
ML02637a,57,30,78,58,77,74,54,57
ML02638a,0,0,0,0,2,5,2,3
ML026410a,129,151,128,153,110,77,120,96
ML026411a,89,16,37,8,234,177,136,152
ML026412a,3,0,11,1,9,6,14,3
ML02641a,3,0,5,2,2,1,2,1
ML02642a,88,82,102,103,53,55,39,61
ML02643a,0,0,0,0,0,0,0,0
ML02644a,3,5,6,0,27,39,15,29
ML02645a,12,13,19,22,32,13,11,10
ML02646a,0,0,1,0,0,0,2,1
ML02647a,90,4,31,0,52,54,7,43
ML02648a,134,113,204,184,341,191,216,145
ML02649a,1215,29,510,8,1117,1143,62,656
ML026510a,460,326,362,328,523,337,348,357
ML026511a,1687,1381,1655,1251,2144,1305,1147,1340
ML026512a,397,575,557,558,277,386,372,324
ML026513a,600,709,690,753,376,403,466,492
ML026514a,0,0,0,0,0,0,0,0
ML026515a,157,137,171,159,164,92,118,135
ML026516a,1570,9274,6324,15429,273,388,1054,557
ML026517a,6,16,9,4,0,3,5,5
ML026518a,48,50,60,25,32,48,36,37
ML026519a,79,34,44,59,34,45,51,52
ML02651a,347,364,329,331,300,311,250,267
ML026520a,304,356,362,297,388,309,311,292
ML02652a,104,99,119,96,148,112,79,73
ML02653a,531,400,448,435,467,429,365,381
ML02654a,180,160,175,132,240,183,138,135
ML02655a,882,709,900,839,1157,679,713,749
ML02656a,557,439,513,406,626,501,390,482
ML02657a,94,29,65,43,111,92,149,117
ML02658a,146,139,143,149,184,165,211,146
ML02659a,180,182,273,156,285,263,173,137
ML026610a,10,0,3,0,2,2,2,13
ML026611a,0,3,1,4,2,3,1,0
ML02661a,176,139,184,165,61,144,104,121
ML02662a,294,342,270,219,3454,1846,2993,3094
ML02663a,23,106,116,62,1177,1963,2152,2371
ML02664a,266,222,241,239,167,208,194,206
ML02665a,137,228,240,130,247,133,117,113
ML02666a,148,172,172,341,144,81,188,152
ML02667a,327,723,742,788,312,426,380,264
ML02668a,3,104,88,79,59,0,53,1
ML02669a,3,5,3,5,11,13,11,17
ML02671a,3,9,2,2,14,10,18,5
ML02672a,528,788,944,788,994,515,501,388
ML02673a,8,5,3,3,4,10,16,10
ML02674a,53,69,104,36,107,129,119,94
ML02675a,9,13,5,16,16,4,7,4
ML02676a,84,113,174,80,7873,2319,2345,3075
ML02681a,22,92,26,47,15,25,10,14
ML02691a,174,1860,913,254,76,56,60,82
ML02692a,0,0,0,0,0,0,0,0
ML027310a,726,690,607,663,688,610,648,520
ML027311a,621,500,645,567,558,536,456,452
ML027312a,5,3,12,2,4,8,11,7
ML027313a,42,17,20,21,14,35,20,26
ML027314a,640,561,604,521,512,537,348,415
ML027315a,239,244,247,215,211,183,187,201
ML027316a,0,0,0,0,0,0,0,0
ML027317a,1,0,0,4,0,0,0,0
ML027318a,813,1054,1089,1124,330,431,590,642
ML02731a,286,266,282,206,277,285,187,233
ML02732a,800,1060,652,565,461,601,528,612
ML02733a,2,3,3,16,10,48,70,11
ML02734a,3,0,5,1,26,10,22,8
ML02735a,4239,27129,8832,20303,3831,3002,4049,2061
ML02736a,2809,3429,4996,2240,3955,2222,2650,3085
ML02737a,55,92,69,160,75,33,82,81
ML02738a,95,102,95,77,79,95,72,55
ML02739a,23,35,52,47,31,27,37,48
ML02741a,273,559,542,733,195,96,145,161
ML02742a,349,603,540,450,479,289,254,230
ML02743a,80,76,109,67,181,91,90,119
ML02744a,3611,3039,3129,2505,2772,3380,2327,3703
ML02745a,2,376,399,339,347,0,334,0
ML02751a,1659,1100,1316,1105,1308,1357,982,984
ML02752a,1465,994,1550,833,1716,1432,917,1026
ML02753a,425,417,422,350,511,335,270,314
ML02754a,380,300,317,232,319,365,224,272
ML02755a,662,555,566,635,837,499,616,514
ML02756a,527,439,457,469,324,417,411,312
ML02757a,102,143,116,184,10,16,38,43
ML02761a,0,0,1,0,0,0,0,0
ML02762a,277,240,202,201,172,219,163,179
ML02763a,1616,2195,2053,1733,2954,1269,1293,1431
ML02764a,602,577,626,453,495,516,374,451
ML02771a,655,1348,902,1350,558,1024,786,511
ML02772a,708,467,580,387,831,490,333,485
ML02773a,348,349,355,354,476,283,212,254
ML02774a,0,3,2,1,0,0,2,0
ML02775a,293,422,402,468,263,292,340,234
ML02776a,1,3,1,1,3,4,2,1
ML02777a,333,397,401,505,321,333,368,303
ML02778a,0,0,0,0,0,0,0,0
ML02779a,0,0,0,0,0,0,0,0
ML02781a,1,8,2,2,1,13,1,0
ML02782a,1,2,16,18,14,5,14,1
ML02783a,2,7,80,38,43,4,33,1
ML02784a,9,6,6,8,8,4,8,13
ML02791a,3,6,0,4,2,4,5,2
ML028010a,303,222,216,109,156,209,121,150
ML028011a,151,127,101,49,50,132,47,80
ML028012a,113,91,95,57,127,94,98,102
ML028013a,329,334,198,257,311,221,218,246
ML028014a,27,27,32,27,11,25,12,12
ML028015a,755,760,681,593,927,620,488,664
ML028016a,92,85,89,82,53,69,60,51
ML028017a,101,81,58,71,61,51,41,55
ML028018a,67,112,100,77,90,58,43,56
ML028019a,227,434,398,472,295,247,220,207
ML02801a,245,231,507,432,115,112,231,154
ML028020a,58,53,77,90,49,57,47,27
ML02802a,0,0,0,0,0,0,0,0
ML02803a,110,129,107,80,250,135,81,131
ML02804a,81,92,70,67,100,52,86,89
ML02805a,306,576,612,769,56,90,302,149
ML02806a,571,897,866,711,642,386,497,512
ML02807a,174,160,192,167,183,146,128,133
ML02808a,386,473,543,349,590,328,299,358
ML02809a,4,5,34,5,3,0,7,3
ML02821a,0,0,0,0,0,0,0,0
ML02822a,0,0,0,0,0,0,0,0
ML02823a,343,371,412,404,540,308,325,333
ML02824a,638,1017,972,855,613,525,492,642
ML02825a,1536,396,708,309,1138,1410,311,1347
ML02826a,267,275,299,239,229,125,151,197
ML02827a,194,163,191,138,210,170,147,141
ML02828a,1258,1116,1178,1069,1112,1127,953,864
ML02831a,102,123,133,150,16,57,40,45
ML02841a,0,0,0,0,0,0,0,0
ML02861a,337,283,559,768,59,355,513,359
ML028710a,2,0,1,1,1,0,0,0
ML02871a,218,401,277,268,241,194,207,208
ML02872a,318,352,506,319,377,300,367,353
ML02873a,0,0,2,2,2,3,4,0
ML02874a,373,422,466,342,575,233,315,330
ML02875a,278,227,213,171,297,185,148,191
ML02876a,0,0,0,0,0,0,0,0
ML02877a,145,151,130,144,183,114,89,101
ML02878a,979,1057,1053,884,1069,812,677,807
ML02879a,22,15,33,11,106,33,13,25
ML02881a,3,7,6,2,6,3,5,6
ML02882a,5214,7609,6993,6658,8429,5581,4951,5469
ML02891a,38,65,86,17,7,5,26,18
ML02911a,16,53,44,9,8,36,13,9
ML02912a,2,3,2,3,2,0,2,1
ML02913a,206,162,195,143,212,200,121,156
ML02914a,1232,761,778,667,1063,670,604,1098
ML02915a,244,257,257,261,291,234,181,192
ML02916a,181,240,309,250,419,250,202,178
ML02917a,0,0,0,0,0,0,0,0
ML02918a,313,344,328,313,270,273,271,249
ML02931a,297,398,703,440,87,221,308,185
ML02941a,55,110,58,75,123,65,68,67
ML02942a,218,139,158,136,104,90,84,103
ML029510a,1040,563,696,433,763,706,330,673
ML029511a,1,0,0,0,1,0,0,0
ML029512a,260,213,219,171,199,217,174,173
ML029513a,4,0,2,2,20,5,4,5
ML029514a,0,1,0,0,0,1,0,0
ML029515a,334,299,415,300,303,287,222,263
ML029516a,167,152,218,141,202,188,155,134
ML029517a,1411,1385,1485,1454,1190,1234,1003,1116
ML029518a,333,276,196,218,327,260,224,243
ML029519a,367,368,313,357,291,342,281,282
ML02951a,0,0,1,5,2,3,3,3
ML029520a,2443,2375,2797,2307,2016,2056,2047,2258
ML029521a,0,0,0,0,0,0,0,0
ML029522a,231,171,234,205,329,176,147,145
ML029523a,6,16,8,2,14,65,0,3
ML029524a,415,436,488,399,494,365,333,382
ML029525a,818,884,786,636,870,678,564,623
ML02952a,238,238,261,193,248,207,175,174
ML02953a,1177,1206,1156,1287,743,981,932,900
ML02954a,0,0,0,0,0,0,0,0
ML02955a,50,64,76,49,65,37,44,35
ML02956a,354,184,366,201,325,169,145,256
ML02957a,94,204,83,163,69,63,105,88
ML02958a,290,419,327,459,281,203,267,248
ML02959a,1366,2958,2162,2633,2535,1315,1567,1701
ML029610a,59,79,98,82,55,44,54,64
ML029611a,22,26,32,65,128,77,195,101
ML029612a,211,120,190,88,231,205,77,145
ML029613a,117,77,89,57,115,135,69,100
ML029614a,51,73,115,94,33,74,45,31
ML029615a,1,1,3,0,0,2,3,3
ML029616a,32,53,60,52,28,39,40,26
ML029617a,42,55,44,49,98,72,112,73
ML029618a,95,136,154,124,117,92,98,45
ML029619a,26,27,17,15,57,27,93,61
ML02961a,0,0,0,0,0,0,0,0
ML02962a,973,1235,1184,1004,1608,845,808,941
ML02963a,0,3,0,0,36,203,144,1350
ML02964a,0,1,3,1,1,2,0,6
ML02965a,0,1,0,0,1,0,1,0
ML02966a,9,9,21,8,4,4,7,7
ML02967a,251,182,231,79,203,155,87,126
ML02968a,2245,2189,2351,1957,3012,2049,1590,1826
ML02969a,1,2,8,0,2,6,6,7
ML029710a,195,153,160,148,100,194,107,143
ML029711a,29,33,80,43,0,61,62,38
ML029712a,94,77,82,71,32,84,45,70
ML02971a,43,12,41,28,24,13,23,26
ML02972a,0,0,0,0,0,0,0,0
ML02973a,93,97,81,85,87,60,90,56
ML02974a,211,205,194,189,358,93,140,156
ML02975a,858,920,1115,766,778,663,654,758
ML02976a,178,264,174,122,217,135,108,157
ML02977a,361,239,294,239,352,264,231,275
ML02978a,2,0,3,0,0,0,0,0
ML02979a,414,750,674,697,324,356,344,334
ML02981a,0,0,0,0,0,0,0,0
ML02982a,24,34,34,25,5,20,15,19
ML02983a,127,174,144,125,123,76,108,114
ML029910a,331,142,196,137,218,154,91,142
ML029911a,25,36,36,21,9,8,10,15
ML029912a,12,8,11,10,1,14,10,10
ML029913a,75,26,43,15,70,26,17,31
ML029914a,797,630,755,598,1217,691,497,610
ML02991a,0,0,0,0,0,0,0,0
ML02992a,45,25,31,22,119,70,27,36
ML02993a,338,494,453,404,320,322,238,260
ML02994a,756,981,960,870,827,618,638,639
ML02995a,39,25,41,33,26,34,22,33
ML02996a,69,68,71,46,110,66,68,74
ML02997a,0,0,0,1,53,25,61,33
ML02998a,0,0,0,0,0,0,0,0
ML02999a,0,0,0,1,22,22,31,29
ML030010a,1830,1942,1896,1710,2449,1554,1294,1566
ML030011a,325,237,282,210,212,205,192,216
ML03001a,4700,4583,4605,3825,5620,4048,2927,3944
ML03002a,0,0,0,0,0,0,0,0
ML03003a,3245,2887,3293,3652,2277,1635,1375,1913
ML03004a,0,0,0,0,0,0,0,0
ML03005a,182,325,273,244,275,127,161,148
ML03006a,418,361,364,290,383,314,334,462
ML03007a,0,0,0,0,0,0,0,0
ML03008a,25,13,10,9,10,14,10,7
ML03009a,63,234,128,29,9,4,5,1
ML030210a,90,38,16,300,1810,5090,6175,11994
ML030211a,509,902,1000,554,731,455,500,644
ML030212a,1019,1596,1488,1528,679,525,828,897
ML030213a,35,59,26,36,22,20,22,25
ML030214a,11,19,15,5,12,8,12,10
ML030215a,814,1717,1411,478,345,428,310,818
ML030216a,988,785,1379,1153,743,588,454,588
ML030217a,0,0,0,0,0,0,0,0
ML030218a,367,223,293,194,199,277,201,222
ML030219a,1451,1283,1332,1224,1113,1160,820,1041
ML03021a,967,886,1019,841,1618,678,643,889
ML030220a,266,205,258,209,288,268,174,212
ML030221a,0,0,0,0,0,0,0,0
ML030222a,3,1,0,2,1,1,3,0
ML030223a,196,245,215,192,158,178,178,210
ML030224a,984,975,1024,979,1085,881,783,750
ML030225a,19,21,54,32,14,20,12,18
ML030226a,117,32,50,0,79,95,56,134
ML030227a,222,299,301,338,800,341,533,654
ML030228a,342,372,319,306,395,259,364,412
ML030229a,0,0,0,0,0,0,0,0
ML03022a,2200,1727,2104,1185,2276,1516,1153,1777
ML030230a,16,23,8,30,38,8,5,13
ML030231a,0,6,0,9,107,86,256,135
ML030232a,244,490,249,280,297,266,503,508
ML030233a,386,479,468,334,192,234,239,333
ML030234a,823,1938,2990,1812,17,58,35,50
ML030235a,69,203,298,184,2,7,13,3
ML030236a,5,3,2,11,2,4,2,4
ML030237a,2,2,3,4,1,0,0,1
ML030238a,708,589,661,830,857,715,714,672
ML030239a,420,300,317,319,281,329,197,264
ML03023a,631,479,533,271,542,498,222,397
ML030240a,12,11,8,12,14,7,17,6
ML030241a,1876,5884,3628,5434,1424,233,2699,1195
ML030242a,424,1755,944,1440,496,72,823,344
ML03024a,32,34,27,8,16,12,20,23
ML03025a,11,21,21,10,100,71,51,31
ML03026a,880,765,719,642,556,641,590,609
ML03027a,5139,5725,6229,5498,10518,4970,4029,4954
ML03028a,7088,8180,8075,7449,11156,5705,5903,6413
ML03029a,11,21,11,758,1708,3012,5588,5149
ML03031a,49,32,154,83,131,92,78,48
ML03032a,3,1,1,0,0,0,0,0
